Sezione;Cod. circoscrizione;Circoscrizione;Progressivo lista;Nome Lista;Progr. candidato;Cognome;Nome;Nome Detto;Voti
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;1;DE LEO;ANTONIO;;1
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;2;MANUALI;GIORGIO;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;3;FRONZA;DANIELA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;4;BERTOLDI;MATTEO;Matteo;2
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;5;TOMEDI;LARA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;6;BAILO;MATTIA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;7;BENYAKHOU;FATIMA ZOHRA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;8;SALVOTTI DE BINDIS CESARINI SFORZA;SCIPIO;;2
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;9;GIOVANNINI;LINDA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;10;IORIS;DAVIDE;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;11;COLISTA;FABIANA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;12;FERRARIS;MORENO;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;13;BALSAMO;BARBARA;;2
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;14;CAPOZZA;LINO;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;15;CAINELLI;SERENA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;16;GRASSINI;GIAN FILIPPO;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;17;BARONE;SALVATORE;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;18;PODESTA';CATERINA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;19;VIOLA;MAURIZIO;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;20;ROAT;CAROLINA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;21;VALENTINI;LUCA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;22;BERTEOTTI;ANTONELLA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;23;PERINI;FABIO;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;24;PIANETTI;MICHELA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;25;FIORETTI;NICOLA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;26;COSER;MIRKO;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;27;CIURLETTI;RENZO;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;28;VISINI;MIRKO;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;29;MARCHESAN;MONICA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;30;GIOVANNINI;STEFANO;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;31;COTELLI;ANDREA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;32;MURGIA;MARCO;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;33;COTELLI;MICHELA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;34;TOLLER;DANIELE-MADALIN;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;35;RIGO;AGOSTINO;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;36;ROSA;ANDREA;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;37;CELLAMARE;GIANVITO;;0
1;12;C.STORICO/PIEDICASTELLO;1;FORZA ITALIA BERLUSCONI PRESIDENTE;38;CIVETTINI;CLAUDIO;Claudio Cive;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;1;MORANDUZZO;DEVID;;1
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;2;LOSS;MARTINA;;1
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;3;FESTINI BROSA;GIANNI;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;4;BIANCO;MARIO;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;5;BONN;GIUSEPPE;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;6;COVI;CLEMENTE;Clem;1
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;7;NUCIDA;MIRCO;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;8;BENVENUTI;SIMONA;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;9;BIASIOLI;ROBERTO;;1
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;10;BUFFA;CLAUDIO;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;11;CALZAVARA;MARCO;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;12;FILIPPI DANTONE;LAURA;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;13;GARDUMI;UMBERTO;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;14;RODLER;CHRISTIAN;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;15;DEBERTOLIS;FIORENZA;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;16;IANESELLI;PAOLA;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;17;IORIATTI;LORIS;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;18;PERANZONI;GABRIELE;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;19;PISONI;DEBORAH;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;20;BEOZZO;MICHELE;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;21;COSI;ROBERTO;Conte;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;22;FRESCHI;LORENZO;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;23;BALSAMO;CHIARA ARMONIA;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;24;BRIGANTI;ALESSANDRO;Migola;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;25;BUCELLA;MARICA;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;26;CAINELLI;NICOLE;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;27;CAPPELLETTI;DENIS;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;28;CASAGRANDE;FIAMMETTA CRISTINA;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;29;DALPRA';GUIDO;Tonarel;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;30;DONATI;ELENA;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;31;FIAMOZZI;FABIO;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;32;FRANCESCHINI;MATTEO;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;33;GALLUCCIO;ANGELO;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;34;GONZO;MARIO;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;35;LIMELLI;NICOLA;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;36;MOTTES;RUGGERO;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;37;PALAZZI;CLELIA;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;38;ESPOSITO;PASQUALE;;0
1;12;C.STORICO/PIEDICASTELLO;2;LEGA SALVINI PREMIER;39;VENEZIANI;BEPPINO;Pino;0
1;12;C.STORICO/PIEDICASTELLO;3;GIORGIA MELONI FRATELLI D'ITALIA;1;URBANI;GIUSEPPE;Pino;0
1;12;C.STORICO/PIEDICASTELLO;3;GIORGIA MELONI FRATELLI D'ITALIA;2;DEMATTE';DANIELE;;0
1;12;C.STORICO/PIEDICASTELLO;3;GIORGIA MELONI FRATELLI D'ITALIA;3;MASON;GIACOMO;;1
1;12;C.STORICO/PIEDICASTELLO;3;GIORGIA MELONI FRATELLI D'ITALIA;4;FARCI;SILVIA;;0
1;12;C.STORICO/PIEDICASTELLO;3;GIORGIA MELONI FRATELLI D'ITALIA;5;FRESCHI;MAURIZIO;;0
1;12;C.STORICO/PIEDICASTELLO;3;GIORGIA MELONI FRATELLI D'ITALIA;6;ESPINOZA;EDUARDO ANTONIO;;0
1;12;C.STORICO/PIEDICASTELLO;3;GIORGIA MELONI FRATELLI D'ITALIA;7;IACOB;CRISTIAN;;0
1;12;C.STORICO/PIEDICASTELLO;3;GIORGIA MELONI FRATELLI D'ITALIA;8;ISCHIA;ELISABETTA;;0
1;12;C.STORICO/PIEDICASTELLO;3;GIORGIA MELONI FRATELLI D'ITALIA;9;LANOTTE;GIUSEPPE;;0
1;12;C.STORICO/PIEDICASTELLO;3;GIORGIA MELONI FRATELLI D'ITALIA;10;LATTANZIO;SAVERIO FABIO;;2
1;12;C.STORICO/PIEDICASTELLO;3;GIORGIA MELONI FRATELLI D'ITALIA;11;MENNITTI;GIULIO MARIA;;0
1;12;C.STORICO/PIEDICASTELLO;3;GIORGIA MELONI FRATELLI D'ITALIA;12;NICCOLINI;CLAUDIO;;0
1;12;C.STORICO/PIEDICASTELLO;3;GIORGIA MELONI FRATELLI D'ITALIA;13;OCHNER;ALESSANDRO;;0
1;12;C.STORICO/PIEDICASTELLO;3;GIORGIA MELONI FRATELLI D'ITALIA;14;OSELE;ANDREA;;0
1;12;C.STORICO/PIEDICASTELLO;3;GIORGIA MELONI FRATELLI D'ITALIA;15;OSTI;MAURIZIO;;0
1;12;C.STORICO/PIEDICASTELLO;3;GIORGIA MELONI FRATELLI D'ITALIA;16;PEREGO;MAURIZIO;;0
