id_section,id_district,district,supportedmayor,group,votes
1,12,C.STORICO/PIEDICASTELLO,BORTOLOTTI GIULIA,MOVIMENTO 5 STELLE,5
1,12,C.STORICO/PIEDICASTELLO,BORTOLOTTI GIULIA,ONDA,4
1,12,C.STORICO/PIEDICASTELLO,BORTOLOTTI GIULIA,RIFONDAZIONE PARTITO COMUNISTA,2
1,12,C.STORICO/PIEDICASTELLO,DEMARCHI ANDREA,PRIMA TRENTO! PER DEMARCHI SINDACO,5
1,12,C.STORICO/PIEDICASTELLO,GABRIELLI SIMONETTA,DEMOCRAZIA SOVRANA POPOLARE,1
1,12,C.STORICO/PIEDICASTELLO,GEAT CLAUDIO,GENERAZIONE TRENTO GEAT SINDACO,9
1,12,C.STORICO/PIEDICASTELLO,GOIO ILARIA,FORZA ITALIA BERLUSCONI PRESIDENTE,12
1,12,C.STORICO/PIEDICASTELLO,GOIO ILARIA,GIORGIA MELONI FRATELLI D'ITALIA,19
1,12,C.STORICO/PIEDICASTELLO,GOIO ILARIA,LEGA SALVINI PREMIER,11
1,12,C.STORICO/PIEDICASTELLO,IANESELLI FRANCO,ALLEANZA VERDI SINISTRA,15
1,12,C.STORICO/PIEDICASTELLO,IANESELLI FRANCO,CAMPOBASE,8
1,12,C.STORICO/PIEDICASTELLO,IANESELLI FRANCO,INSIEME PER TRENTO,9
1,12,C.STORICO/PIEDICASTELLO,IANESELLI FRANCO,INTESA PER IANESELLI SINDACO,14
1,12,C.STORICO/PIEDICASTELLO,IANESELLI FRANCO,PARTITO DEMOCRATICO DEL TRENTINO - PSI,55
1,12,C.STORICO/PIEDICASTELLO,IANESELLI FRANCO,SÌ TRENTO,6
2,12,C.STORICO/PIEDICASTELLO,BORTOLOTTI GIULIA,MOVIMENTO 5 STELLE,11
2,12,C.STORICO/PIEDICASTELLO,BORTOLOTTI GIULIA,ONDA,10
2,12,C.STORICO/PIEDICASTELLO,BORTOLOTTI GIULIA,RIFONDAZIONE PARTITO COMUNISTA,9
2,12,C.STORICO/PIEDICASTELLO,DEMARCHI ANDREA,PRIMA TRENTO! PER DEMARCHI SINDACO,14
2,12,C.STORICO/PIEDICASTELLO,GABRIELLI SIMONETTA,DEMOCRAZIA SOVRANA POPOLARE,8
