id_section,id_district,district,blanks,canceled,disputed,lastname,name,votes
1,12,C.STORICO/PIEDICASTELLO,1,6,0,BORTOLOTTI,GIULIA,14
1,12,C.STORICO/PIEDICASTELLO,1,6,0,DEMARCHI,ANDREA,7
1,12,C.STORICO/PIEDICASTELLO,1,6,0,GABRIELLI,SIMONETTA,4
1,12,C.STORICO/PIEDICASTELLO,1,6,0,GEAT,CLAUDIO,17
1,12,C.STORICO/PIEDICASTELLO,1,6,0,GOIO,ILARIA,46
1,12,C.STORICO/PIEDICASTELLO,1,6,0,IANESELLI,FRANCO,120
2,12,C.STORICO/PIEDICASTELLO,5,8,0,BORTOLOTTI,GIULIA,38
2,12,C.STORICO/PIEDICASTELLO,5,8,0,DEMARCHI,ANDREA,14
2,12,C.STORICO/PIEDICASTELLO,5,8,0,GABRIELLI,SIMONETTA,9
2,12,C.STORICO/PIEDICASTELLO,5,8,0,GEAT,CLAUDIO,29
2,12,C.STORICO/PIEDICASTELLO,5,8,0,GOIO,ILARIA,116
2,12,C.STORICO/PIEDICASTELLO,5,8,0,IANESELLI,FRANCO,293
3,12,C.STORICO/PIEDICASTELLO,2,8,0,BORTOLOTTI,GIULIA,14
3,12,C.STORICO/PIEDICASTELLO,2,8,0,DEMARCHI,ANDREA,16
3,12,C.STORICO/PIEDICASTELLO,2,8,0,GABRIELLI,SIMONETTA,8
3,12,C.STORICO/PIEDICASTELLO,2,8,0,GEAT,CLAUDIO,26
3,12,C.STORICO/PIEDICASTELLO,2,8,0,GOIO,ILARIA,92
3,12,C.STORICO/PIEDICASTELLO,2,8,0,IANESELLI,FRANCO,257
4,12,C.STORICO/PIEDICASTELLO,2,3,0,BORTOLOTTI,GIULIA,42
4,12,C.STORICO/PIEDICASTELLO,2,3,0,DEMARCHI,ANDREA,12
4,12,C.STORICO/PIEDICASTELLO,2,3,0,GABRIELLI,SIMONETTA,18
4,12,C.STORICO/PIEDICASTELLO,2,3,0,GEAT,CLAUDIO,94
4,12,C.STORICO/PIEDICASTELLO,2,3,0,GOIO,ILARIA,122
4,12,C.STORICO/PIEDICASTELLO,2,3,0,IANESELLI,FRANCO,308
5,12,C.STORICO/PIEDICASTELLO,4,4,0,BORTOLOTTI,GIULIA,30
5,12,C.STORICO/PIEDICASTELLO,4,4,0,DEMARCHI,ANDREA,18
5,12,C.STORICO/PIEDICASTELLO,4,4,0,GABRIELLI,SIMONETTA,8
5,12,C.STORICO/PIEDICASTELLO,4,4,0,GEAT,CLAUDIO,41
5,12,C.STORICO/PIEDICASTELLO,4,4,0,GOIO,ILARIA,113
5,12,C.STORICO/PIEDICASTELLO,4,4,0,IANESELLI,FRANCO,193
6,12,C.STORICO/PIEDICASTELLO,2,1,0,BORTOLOTTI,GIULIA,36
6,12,C.STORICO/PIEDICASTELLO,2,1,0,DEMARCHI,ANDREA,12
6,12,C.STORICO/PIEDICASTELLO,2,1,0,GABRIELLI,SIMONETTA,10
6,12,C.STORICO/PIEDICASTELLO,2,1,0,GEAT,CLAUDIO,54
6,12,C.STORICO/PIEDICASTELLO,2,1,0,GOIO,ILARIA,122
6,12,C.STORICO/PIEDICASTELLO,2,1,0,IANESELLI,FRANCO,283
7,12,C.STORICO/PIEDICASTELLO,3,17,0,BORTOLOTTI,GIULIA,38
7,12,C.STORICO/PIEDICASTELLO,3,17,0,DEMARCHI,ANDREA,9
7,12,C.STORICO/PIEDICASTELLO,3,17,0,GABRIELLI,SIMONETTA,3
7,12,C.STORICO/PIEDICASTELLO,3,17,0,GEAT,CLAUDIO,30
7,12,C.STORICO/PIEDICASTELLO,3,17,0,GOIO,ILARIA,99
7,12,C.STORICO/PIEDICASTELLO,3,17,0,IANESELLI,FRANCO,209
8,12,C.STORICO/PIEDICASTELLO,0,5,0,BORTOLOTTI,GIULIA,46
8,12,C.STORICO/PIEDICASTELLO,0,5,0,DEMARCHI,ANDREA,18
8,12,C.STORICO/PIEDICASTELLO,0,5,0,GABRIELLI,SIMONETTA,11
8,12,C.STORICO/PIEDICASTELLO,0,5,0,GEAT,CLAUDIO,27
8,12,C.STORICO/PIEDICASTELLO,0,5,0,GOIO,ILARIA,133
8,12,C.STORICO/PIEDICASTELLO,0,5,0,IANESELLI,FRANCO,263
9,12,C.STORICO/PIEDICASTELLO,5,1,0,BORTOLOTTI,GIULIA,55
9,12,C.STORICO/PIEDICASTELLO,5,1,0,DEMARCHI,ANDREA,32
9,12,C.STORICO/PIEDICASTELLO,5,1,0,GABRIELLI,SIMONETTA,11
9,12,C.STORICO/PIEDICASTELLO,5,1,0,GEAT,CLAUDIO,41
9,12,C.STORICO/PIEDICASTELLO,5,1,0,GOIO,ILARIA,140
9,12,C.STORICO/PIEDICASTELLO,5,1,0,IANESELLI,FRANCO,297
10,12,C.STORICO/PIEDICASTELLO,5,7,0,BORTOLOTTI,GIULIA,28
10,12,C.STORICO/PIEDICASTELLO,5,7,0,DEMARCHI,ANDREA,25
10,12,C.STORICO/PIEDICASTELLO,5,7,0,GABRIELLI,SIMONETTA,3
10,12,C.STORICO/PIEDICASTELLO,5,7,0,GEAT,CLAUDIO,41
10,12,C.STORICO/PIEDICASTELLO,5,7,0,GOIO,ILARIA,124
10,12,C.STORICO/PIEDICASTELLO,5,7,0,IANESELLI,FRANCO,224
11,12,C.STORICO/PIEDICASTELLO,5,7,0,BORTOLOTTI,GIULIA,48
11,12,C.STORICO/PIEDICASTELLO,5,7,0,DEMARCHI,ANDREA,29
11,12,C.STORICO/PIEDICASTELLO,5,7,0,GABRIELLI,SIMONETTA,6
11,12,C.STORICO/PIEDICASTELLO,5,7,0,GEAT,CLAUDIO,29
11,12,C.STORICO/PIEDICASTELLO,5,7,0,GOIO,ILARIA,143
11,12,C.STORICO/PIEDICASTELLO,5,7,0,IANESELLI,FRANCO,221
12,12,C.STORICO/PIEDICASTELLO,2,9,0,BORTOLOTTI,GIULIA,46
12,12,C.STORICO/PIEDICASTELLO,2,9,0,DEMARCHI,ANDREA,13
12,12,C.STORICO/PIEDICASTELLO,2,9,0,GABRIELLI,SIMONETTA,12
12,12,C.STORICO/PIEDICASTELLO,2,9,0,GEAT,CLAUDIO,29
12,12,C.STORICO/PIEDICASTELLO,2,9,0,GOIO,ILARIA,180
12,12,C.STORICO/PIEDICASTELLO,2,9,0,IANESELLI,FRANCO,252
13,12,C.STORICO/PIEDICASTELLO,8,9,0,BORTOLOTTI,GIULIA,31
13,12,C.STORICO/PIEDICASTELLO,8,9,0,DEMARCHI,ANDREA,16
13,12,C.STORICO/PIEDICASTELLO,8,9,0,GABRIELLI,SIMONETTA,12
13,12,C.STORICO/PIEDICASTELLO,8,9,0,GEAT,CLAUDIO,47
13,12,C.STORICO/PIEDICASTELLO,8,9,0,GOIO,ILARIA,146
13,12,C.STORICO/PIEDICASTELLO,8,9,0,IANESELLI,FRANCO,294
14,12,C.STORICO/PIEDICASTELLO,4,3,0,BORTOLOTTI,GIULIA,35
14,12,C.STORICO/PIEDICASTELLO,4,3,0,DEMARCHI,ANDREA,9
14,12,C.STORICO/PIEDICASTELLO,4,3,0,GABRIELLI,SIMONETTA,6
14,12,C.STORICO/PIEDICASTELLO,4,3,0,GEAT,CLAUDIO,31
14,12,C.STORICO/PIEDICASTELLO,4,3,0,GOIO,ILARIA,124
14,12,C.STORICO/PIEDICASTELLO,4,3,0,IANESELLI,FRANCO,190
15,12,C.STORICO/PIEDICASTELLO,4,12,0,BORTOLOTTI,GIULIA,27
15,12,C.STORICO/PIEDICASTELLO,4,12,0,DEMARCHI,ANDREA,49
15,12,C.STORICO/PIEDICASTELLO,4,12,0,GABRIELLI,SIMONETTA,8
15,12,C.STORICO/PIEDICASTELLO,4,12,0,GEAT,CLAUDIO,14
15,12,C.STORICO/PIEDICASTELLO,4,12,0,GOIO,ILARIA,123
15,12,C.STORICO/PIEDICASTELLO,4,12,0,IANESELLI,FRANCO,254
16,12,C.STORICO/PIEDICASTELLO,2,11,0,BORTOLOTTI,GIULIA,43
16,12,C.STORICO/PIEDICASTELLO,2,11,0,DEMARCHI,ANDREA,15
16,12,C.STORICO/PIEDICASTELLO,2,11,0,GABRIELLI,SIMONETTA,9
16,12,C.STORICO/PIEDICASTELLO,2,11,0,GEAT,CLAUDIO,32
16,12,C.STORICO/PIEDICASTELLO,2,11,0,GOIO,ILARIA,86
16,12,C.STORICO/PIEDICASTELLO,2,11,0,IANESELLI,FRANCO,229
17,11,S.GIUSEPPE/S.CHIARA,2,7,0,BORTOLOTTI,GIULIA,40
17,11,S.GIUSEPPE/S.CHIARA,2,7,0,DEMARCHI,ANDREA,17
17,11,S.GIUSEPPE/S.CHIARA,2,7,0,GABRIELLI,SIMONETTA,4
17,11,S.GIUSEPPE/S.CHIARA,2,7,0,GEAT,CLAUDIO,16
17,11,S.GIUSEPPE/S.CHIARA,2,7,0,GOIO,ILARIA,90
17,11,S.GIUSEPPE/S.CHIARA,2,7,0,IANESELLI,FRANCO,265
18,11,S.GIUSEPPE/S.CHIARA,5,8,0,BORTOLOTTI,GIULIA,35
18,11,S.GIUSEPPE/S.CHIARA,5,8,0,DEMARCHI,ANDREA,12
18,11,S.GIUSEPPE/S.CHIARA,5,8,0,GABRIELLI,SIMONETTA,6
18,11,S.GIUSEPPE/S.CHIARA,5,8,0,GEAT,CLAUDIO,25
18,11,S.GIUSEPPE/S.CHIARA,5,8,0,GOIO,ILARIA,119
18,11,S.GIUSEPPE/S.CHIARA,5,8,0,IANESELLI,FRANCO,319
19,11,S.GIUSEPPE/S.CHIARA,4,8,0,BORTOLOTTI,GIULIA,36
19,11,S.GIUSEPPE/S.CHIARA,4,8,0,DEMARCHI,ANDREA,13
19,11,S.GIUSEPPE/S.CHIARA,4,8,0,GABRIELLI,SIMONETTA,5
19,11,S.GIUSEPPE/S.CHIARA,4,8,0,GEAT,CLAUDIO,25
19,11,S.GIUSEPPE/S.CHIARA,4,8,0,GOIO,ILARIA,101
19,11,S.GIUSEPPE/S.CHIARA,4,8,0,IANESELLI,FRANCO,380
20,11,S.GIUSEPPE/S.CHIARA,5,10,0,BORTOLOTTI,GIULIA,33
20,11,S.GIUSEPPE/S.CHIARA,5,10,0,DEMARCHI,ANDREA,33
20,11,S.GIUSEPPE/S.CHIARA,5,10,0,GABRIELLI,SIMONETTA,12
20,11,S.GIUSEPPE/S.CHIARA,5,10,0,GEAT,CLAUDIO,40
20,11,S.GIUSEPPE/S.CHIARA,5,10,0,GOIO,ILARIA,113
20,11,S.GIUSEPPE/S.CHIARA,5,10,0,IANESELLI,FRANCO,318
21,11,S.GIUSEPPE/S.CHIARA,9,7,0,BORTOLOTTI,GIULIA,39
21,11,S.GIUSEPPE/S.CHIARA,9,7,0,DEMARCHI,ANDREA,25
21,11,S.GIUSEPPE/S.CHIARA,9,7,0,GABRIELLI,SIMONETTA,5
21,11,S.GIUSEPPE/S.CHIARA,9,7,0,GEAT,CLAUDIO,33
21,11,S.GIUSEPPE/S.CHIARA,9,7,0,GOIO,ILARIA,140
21,11,S.GIUSEPPE/S.CHIARA,9,7,0,IANESELLI,FRANCO,333
22,11,S.GIUSEPPE/S.CHIARA,5,10,0,BORTOLOTTI,GIULIA,26
22,11,S.GIUSEPPE/S.CHIARA,5,10,0,DEMARCHI,ANDREA,25
